Title,imdbRating,Poster_Link,Overview,Certificate,Runtime (min),Genre,Actors,Director,Year,tmdbRating,rottenRating
12 Years a Slave,8.1,https://image.tmdb.org/t/p/w500/xdANQijuNrJaw1HA61rDccME4Tm.jpg,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",R,134.0,"Drama, History","Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o, Benedict Cumberbatch, Paul Dano",Steve McQueen,2013.0,7.936,95.0
Before Sunrise,8.1,https://image.tmdb.org/t/p/w500/kf1Jb1c2JAOqjuzA3H4oDM263uB.jpg,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",R,101.0,"Drama, Romance","Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl, Karl Bruckschwaiger",Richard Linklater,1995.0,7.971,100.0
The Grand Budapest Hotel,8.1,https://image.tmdb.org/t/p/w500/eWdyYQreja6JGCzqHWXpWHDrrPo.jpg,"The Grand Budapest Hotel tells of a legendary concierge at a famous European hotel between the wars and his friendship with a young employee who becomes his trusted protégé. The story involves the theft and recovery of a priceless Renaissance painting, the battle for an enormous family fortune and the slow and then sudden upheavals that transformed Europe during the first half of the 20th century.",R,100.0,"Comedy, Drama","Ralph Fiennes, F. Murray Abraham, Mathieu Amalric, Adrien Brody, Willem Dafoe",Wes Anderson,2014.0,8.042,
Blade Runner,8.1,https://image.tmdb.org/t/p/w500/63N9uy8nd9j7Eog2axPQ8lbr3Wj.jpg,"In the smog-choked dystopian Los Angeles of 2019, blade runner Rick Deckard is called out of retirement to terminate a quartet of replicants who have escaped to Earth seeking their creator for a way to extend their short life spans.",R,118.0,"Science Fiction, Drama, Thriller","Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh",Ridley Scott,1982.0,7.94,
Hacksaw Ridge,8.1,https://image.tmdb.org/t/p/w500/jhWbYeUNOA5zAb6ufK6pXQFXqTX.jpg,"WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",R,139.0,"Drama, History, War","Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey",Mel Gibson,2016.0,8.193,
Gone Girl,8.1,https://image.tmdb.org/t/p/w500/ts996lKsxvjkO2yiYG0ht4qAicO.jpg,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",R,149.0,"Mystery, Thriller, Drama","Ben Affleck, Rosamund Pike, Neil Patrick Harris, Tyler Perry, Carrie Coon",David Fincher,2014.0,7.89,
Memories of Murder,8.1,https://image.tmdb.org/t/p/w500/rxndHKwUeFgTHx0PuuhZS4dMtrB.jpg,"During the late 1980s, two detectives in a South Korean province attempt to solve the nation's first series of rape-and-murder cases.",,131.0,"Crime, Drama, Thriller","Song Kang-ho, Kim Sang-kyung, Kim Roi-ha, Song Jae-ho, Byun Hee-bong",Bong Joon Ho,2003.0,8.061,
Ratatouille,8.1,,,,,,,,,,96.0
"Monsters, Inc.",8.1,,,,,,,,,,96.0
In the Name of the Father,8.1,https://image.tmdb.org/t/p/w500/xxHNaCMycynHMKdEZHHQCzaPbZl.jpg,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",PG-13,97.0,Drama,"Anthony Hopkins, Olivia Colman, Mark Gatiss, Olivia Williams, Imogen Poots",Florian Zeller,2020.0,8.113,
How to Train Your Dragon,8.1,https://image.tmdb.org/t/p/w500/kXj2Qrfm994yLeuADqbOieU1mUH.jpg,"It's been ten years since the dragons moved to the Hidden World, and even though Toothless doesn't live in New Berk anymore, Hiccup continues the holiday traditions he once shared with his best friend. But the Vikings of New Berk were beginning to forget about their friendship with dragons. Hiccup, Astrid, and Gobber know just what to do to keep the dragons in the villagers' hearts. And across the sea, the dragons have a plan of their own...",PG,22.0,"Animation, Fantasy, Adventure, Action, Family","Jay Baruchel, America Ferrera, Gerard Butler, Craig Ferguson, Christopher Mintz-Plasse",Tim Johnson,2019.0,8.024,99.0
The Gold Rush,8.1,https://image.tmdb.org/t/p/w500/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,NR,95.0,"Adventure, Comedy, Drama","Charlie Chaplin, Mack Swain, Tom Murray, Henry Bergman, Malcolm Waite",Charlie Chaplin,1925.0,7.98,100.0
Wild Tales,8.1,https://image.tmdb.org/t/p/w500/ucFsh8uU0Lsw7zouQFaRrs2ElOs.jpg,"Injustice and the demands of the world can cause stress for many people. Some of them, however, explode. This includes a waitress serving a grouchy loan shark, an altercation between two motorists, an ill-fated wedding reception, and a wealthy businessman who tries to buy his family out of trouble.",R,122.0,"Drama, Thriller, Comedy","Ricardo Darín, Leonardo Sbaraglia, Érica Rivas, Oscar Martínez, Rita Cortese",Damián Szifron,2014.0,7.869,94.0
Sherlock Jr.,8.2,https://image.tmdb.org/t/p/w500/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",NR,45.0,"Action, Comedy, Mystery","Buster Keaton, Kathryn McGuire, Joe Keaton, Erwin Connelly, Ward Crane",Buster Keaton,1924.0,8.063,
Jaws,8.1,,,,,,,,,,97.0
Mary and Max,8.1,https://image.tmdb.org/t/p/w500/ebmsM382m9IClLUzKYY2U5biFwM.jpg,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",NR,92.0,"Animation, Comedy, Drama","Toni Collette, Philip Seymour Hoffman, Barry Humphries, Eric Bana, Bethany Whitmore",Adam Elliot,2009.0,7.868,
The Deer Hunter,8.1,https://image.tmdb.org/t/p/w500/bbGtogDZOg09bm42KIpCXUXICkh.jpg,"A group of working-class friends decide to enlist in the Army during the Vietnam War and finds it to be hellish chaos -- not the noble venture they imagined. Before they left, Steven married his pregnant girlfriend -- and Michael and Nick were in love with the same woman. But all three are different men upon their return.",R,183.0,"Drama, War","Robert De Niro, Christopher Walken, John Cazale, John Savage, Meryl Streep",Michael Cimino,1978.0,7.991,
Ford v Ferrari,8.1,https://image.tmdb.org/t/p/w500/dR1Ju50iudrOh3YgfwkAU1g2HZe.jpg,"American car designer Carroll Shelby and the British-born driver Ken Miles work together to battle corporate interference, the laws of physics, and their own personal demons to build a revolutionary race car for Ford Motor Company and take on the dominating race cars of Enzo Ferrari at the 24 Hours of Le Mans in France in 1966.",PG-13,153.0,"Drama, Action, History","Matt Damon, Christian Bale, Jon Bernthal, Caitríona Balfe, Josh Lucas",James Mangold,2019.0,8.004,92.0
The General,8.1,https://image.tmdb.org/t/p/w500/nIp4gIXogCjfB1QABNsWwa9gSca.jpg,"During America’s Civil War, Union spies steal engineer Johnny Gray's beloved locomotive, 'The General'—with Johnnie's lady love aboard an attached boxcar—and he single-handedly must do all in his power to both get The General back and to rescue Annabelle.",NR,79.0,"Action, Adventure, Comedy, War","Buster Keaton, Marion Mack, Glen Cavender, Jim Farley, Frederick Vroom","Clyde Bruckman, Buster Keaton",1926.0,7.941,
The Wages of Fear,8.1,https://image.tmdb.org/t/p/w500/dZyZSosIlWcpQkV0f7pXcrV2TQV.jpg,"In a run-down South American town, four men are paid to drive trucks loaded with nitroglycerin into the jungle through to the oil field. Friendships are tested and rivalries develop as they embark upon the perilous journey.",PG-13,153.0,"Drama, Thriller, Adventure","Yves Montand, Charles Vanel, Peter van Eyck, Folco Lulli, Véra Clouzot",Henri-Georges Clouzot,1953.0,8.029,100.0
Mr. Smith Goes to Washington,8.1,https://image.tmdb.org/t/p/w500/nDjg1fbNyq15excNDl3acd2IqAk.jpg,"After the death of a United States Senator, idealistic Jefferson Smith is appointed as his replacement in Washington. Soon, the naive and earnest new senator has to battle political corruption.",NR,129.0,"Comedy, Drama","James Stewart, Jean Arthur, Claude Rains, Edward Arnold, Guy Kibbee",Frank Capra,1939.0,7.86,97.0
On the Waterfront,8.1,https://image.tmdb.org/t/p/w500/fKjLZy9W8VxMOp5OoyWojmLVCQw.jpg,"Terry Malloy is a kindhearted dockworker, and former boxer, who is tricked by his corrupt bosses into leading his friend to death. After falling in love, he tries to leave the waterfront and expose his employers.",NR,108.0,"Crime, Drama, Romance","Marlon Brando, Karl Malden, Lee J. Cobb, Eva Marie Saint, Rod Steiger",Elia Kazan,1954.0,7.902,99.0
Wild Strawberries,8.1,https://image.tmdb.org/t/p/w500/iyTD2QnySNMPUPE3IedZQipSWfz.jpg,"Crotchety retired doctor Isak Borg travels from Stockholm to Lund, Sweden, with his pregnant and unhappy daughter-in-law, Marianne, in order to receive an honorary degree from his alma mater. Along the way, they encounter a series of hitchhikers, each of whom causes the elderly doctor to muse upon the pleasures and failures of his own life. These include the vivacious young Sara, a dead ringer for the doctor's own first love.",,91.0,Drama,"Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand, Jullan Kindahl",Ingmar Bergman,1957.0,8.117,
Logan,8.1,,,,,,,,,,93.0
Rocky,8.1,,,,,,,,,,
I'm Still Here,8.3,https://image.tmdb.org/t/p/w500/bTdZk3q2DWpBRnLiaaItKFWOVhI.jpg,"In this classic German thriller, Hans Beckert, a serial killer who preys on children, becomes the focus of a massive Berlin police manhunt. Beckert's heinous crimes are so repellant and disruptive to city life that he is even targeted by others in the seedy underworld network. With both cops and criminals in pursuit, the murderer soon realizes that people are on his trail, sending him into a tense, panicked attempt to escape justice.",PG-13,111.0,"Drama, Thriller, Crime","Peter Lorre, Ellen Widmann, Inge Landgut, Otto Wernicke, Theodor Loos",Fritz Lang,1931.0,8.1,100.0
The Third Man,8.1,https://image.tmdb.org/t/p/w500/rO2Fq0AZZx9obs52KJdx4mRE8p5.jpg,"In postwar Vienna, Austria, Holly Martins, a writer of pulp Westerns, arrives penniless as a guest of his childhood chum Harry Lime, only to learn he has died. Martins develops a conspiracy theory after learning of a ""third man"" present at the time of Harry's death, running into interference from British officer Major Calloway, and falling head-over-heels for Harry's grief-stricken lover, Anna.",NR,105.0,"Thriller, Mystery","Joseph Cotten, Alida Valli, Trevor Howard, Orson Welles, Paul Hörbiger",Carol Reed,1949.0,7.916,99.0
Tokyo Story,8.1,https://image.tmdb.org/t/p/w500/g2YbTYKpY7N2yDSk7BfXZ18I5QV.jpg,"The elderly Shukishi and his wife, Tomi, take the long journey from their small seaside village to visit their adult children in Tokyo. Their elder son, Koichi, a doctor, and their daughter, Shige, a hairdresser, don't have much time to spend with their aged parents, and so it falls to Noriko, the widow of their younger son who was killed in the war, to keep her in-laws company.",,137.0,Drama,"Chishū Ryū, Chieko Higashiyama, Setsuko Hara, Haruko Sugimura, Sō Yamamura",Yasujirō Ozu,1953.0,8.177,100.0
Spotlight,8.1,,,,,,,,,,97.0
The Big Lebowski,8.1,,,,,,,,,,
The Terminator,8.1,,,,,,,,,,100.0
Maharaja,8.4,,,,,,,,,,
The Seventh Seal,8.1,https://image.tmdb.org/t/p/w500/wcZ21zrOsy0b52AfAF50XpTiv75.jpg,"When disillusioned Swedish knight Antonius Block returns home from the Crusades to find his country in the grips of the Black Death, he challenges Death to a chess match for his life. Tormented by the belief that God does not exist, Block sets off on a journey, meeting up with traveling players Jof and his wife, Mia, and becoming determined to evade Death long enough to commit one redemptive act while he still lives.",NR,96.0,"Fantasy, Drama","Gunnar Björnstrand, Bengt Ekerot, Nils Poppe, Max von Sydow, Bibi Andersson",Ingmar Bergman,1957.0,8.184,
Pirates of the Caribbean: The Curse of the Black Pearl,8.1,,,,,,,,,,
Room,8.1,https://image.tmdb.org/t/p/w500/pCURNjeomWbMSdiP64gj8NVVHTQ.jpg,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",R,118.0,"Drama, Thriller","Brie Larson, Jacob Tremblay, Joan Allen, Sean Bridgers, Tom McCamus",Lenny Abrahamson,2015.0,8.004,93.0
La haine,8.1,https://image.tmdb.org/t/p/w500/iH8saz6s0Z8SPPrKaMI2KrRzTED.jpg,"After a chaotic night of rioting in a marginal suburb of Paris, three young friends, Vinz, Hubert and Saïd, wander around unoccupied waiting for news about the state of health of a mutual friend who has been seriously injured when confronting the police.",NR,98.0,Drama,"Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili, Solo",Mathieu Kassovitz,1995.0,8.089,96.0
Jai Bhim,8.7,,,,,,,,,,
Hotel Rwanda,8.1,,,,,,,,,,91.0
Platoon,8.1,,,,,,,,,,
Before Sunset,8.1,,,,,,,,,,94.0
The Best Years of Our Lives,8.1,,,,,,,,,,98.0
The Exorcist,8.1,,,,,,,,,,
The Passion of Joan of Arc,8.1,https://image.tmdb.org/t/p/w500/plzI7N52uHhERUZLNSVbGGakFwR.jpg,"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom.",NR,82.0,"Drama, History","Maria Falconetti, Eugène Silvain, André Berley, Maurice Schutz, Antonin Artaud",Carl Theodor Dreyer,1928.0,8.0,98.0
The Wizard of Oz,8.1,https://image.tmdb.org/t/p/w500/9YEGawvjaRgnyW6QVcUhFJPFDco.jpg,"As a lionhearted boy who can't wield magic strives for the title of Wizard King, four banished Wizard Kings of yore return to crush the Clover Kingdom.",PG-13,113.0,"Animation, Fantasy, Action, Adventure","Gakuto Kajiwara, Nobunaga Shimazaki, Junichi Suwabe, Kana Yuuki, Toshihiko Seki",Ayataka Tanemura,2023.0,8.2,98.0
The Sound of Music,8.1,,,,,,,,,,
The Incredibles,8.0,,,,,,,,,,
Hachi: A Dog's Tale,8.1,https://image.tmdb.org/t/p/w500/lsy3aEsEfYIHdLRk4dontZ4s85h.jpg,A drama based on the true story of a college professor's bond with the abandoned dog he takes into his home.,G,93.0,"Drama, Family","Richard Gere, Joan Allen, Sarah Roemer, Cary-Hiroyuki Tagawa, Erick Avari",Lasse Hallström,2009.0,8.01,
Rush,8.1,https://image.tmdb.org/t/p/w500/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.,NR,95.0,"Adventure, Comedy, Drama","Charlie Chaplin, Mack Swain, Tom Murray, Henry Bergman, Malcolm Waite",Charlie Chaplin,1925.0,7.98,100.0
Stand by Me,8.1,https://image.tmdb.org/t/p/w500/vz0w9BSehcqjDcJOjRaCk7fgJe7.jpg,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives.",R,89.0,"Crime, Drama","Wil Wheaton, River Phoenix, Corey Feldman, Jerry O'Connell, Kiefer Sutherland",Rob Reiner,1986.0,7.855,
My Father and My Son,8.2,,,,,,,,,,
Network,8.1,,,,,,,,,,96.0
The Iron Giant,8.1,https://image.tmdb.org/t/p/w500/ct04FCFLPImNG5thcPLRnVsZlmS.jpg,"In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",PG,86.0,"Animation, Family, Science Fiction, Adventure","Jennifer Aniston, Harry Connick Jr., Vin Diesel, James Gammon, Cloris Leachman",Brad Bird,1999.0,7.9,96.0
The Handmaiden,8.1,https://image.tmdb.org/t/p/w500/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",R,145.0,"Thriller, Drama, Romance","Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook",Park Chan-wook,2016.0,8.205,96.0
Sinners,8.2,,,,,,,,,,
To Be or Not to Be,8.1,,,,,,,,,,96.0
The Battle of Algiers,8.1,https://image.tmdb.org/t/p/w500/Df9SP4FgPMrIQBw5WOGtSi3fnT.jpg,Tracing the struggle of the Algerian Front de Liberation Nationale to gain freedom from French colonial rule as seen through the eyes of Ali from his start as a petty thief to his rise to prominence in the organisation and capture by the French in 1957. The film traces the rebels' struggle and the increasingly extreme measures taken by the French government to quell the revolt.,NR,121.0,"Drama, War, History","Brahim Hadjadj, Jean Martin, Yacef Saâdi, Fouzia El Kader, Mohamed Ben Kassen",Gillo Pontecorvo,1966.0,7.88,99.0
A Silent Voice: The Movie,8.1,https://image.tmdb.org/t/p/w500/tuFaWiqX0TXoWu7DGNcmX3UW7sT.jpg,"Shouya Ishida starts bullying the new girl in class, Shouko Nishimiya, because she is deaf. But as the teasing continues, the rest of the class starts to turn on Shouya for his lack of compassion. When they leave elementary school, Shouko and Shouya do not speak to each other again... until an older, wiser Shouya, tormented by his past behaviour, decides he must see Shouko once more. He wants to atone for his sins, but is it already too late...?",NR,129.0,"Animation, Drama, Romance","Miyu Irino, Saori Hayami, Aoi Yuki, Kensho Ono, Yuki Kaneko",Naoko Yamada,2016.0,8.386,
The Grapes of Wrath,8.1,,,,,,,,,,100.0
Into the Wild,8.0,,,,,,,,,,
Groundhog Day,8.0,,,,,,,,,,
The Help,8.1,https://image.tmdb.org/t/p/w500/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",PG-13,146.0,Drama,"Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain",Tate Taylor,2011.0,8.207,
Amores Perros,8.0,,,,,,,,,,93.0
Rebecca,8.1,https://image.tmdb.org/t/p/w500/1qz3qUOHnVy7dL7M7G8jSErxE4b.jpg,"Story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, Rebecca, who died mysteriously several years earlier. The young wife must come to grips with the terrible secret of her handsome, cold husband, Max De Winter. She must also deal with the jealous, obsessed Mrs. Danvers, the housekeeper, who will not accept her as the mistress of the house.",NR,130.0,"Mystery, Romance, Thriller","Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson, Nigel Bruce",Alfred Hitchcock,1940.0,7.894,98.0
