Title,Original Title,Overview,Release Date,Genres,Runtime,Rating,Vote Count,Tagline,Poster Link,Backdrop Link,Budget,Revenue,Language,Production Companies,Cast,Director
The Legend of 1900,La leggenda del pianista sull'oceano,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",1998-10-28,"Drama, Music",170,8.3,2288,An epic story of a man who could do anything... except be ordinary,https://image.tmdb.org/t/p/w500/iOcbJ5pxokOPDRgieVDbsFMrCc6.jpg,https://image.tmdb.org/t/p/w500/muSeX7fnNw0pv4zHK7RSwZln6Hk.jpg,9000000,21057208,it,"Medusa Film, Sciarlò","Tim Roth, Pruitt Taylor Vince, Mélanie Thierry, Bill Nunn, Gabriele Lavia",Giuseppe Tornatore
The Lion King,The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",1994-06-15,"Family, Animation, Drama",89,8.255,18657,The greatest adventure of all is finding our place in the Circle of Life.,https://image.tmdb.org/t/p/w500/sKCr78MXSLixwmZ8DyJLrpMsd15.jpg,https://image.tmdb.org/t/p/w500/wXsQvli6tWqja51pYxXNG1LFIGV.jpg,45000000,763455561,en,"Walt Disney Pictures, Walt Disney Feature Animation","Matthew Broderick, Moira Kelly, Nathan Lane, Ernie Sabella, James Earl Jones","Roger Allers, Rob Minkoff"
Clouds,Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2020-10-09,"Music, Drama, Romance",121,8.251,1016,Don't wait for tomorrow to live for today.,https://image.tmdb.org/t/p/w500/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg,https://image.tmdb.org/t/p/w500/L7DIiAdP8DnNqOh7454ZrTYspR.jpg,0,0,en,"Mad Chance, La Scala Films, Wayfarer Studios","Fin Argus, Sabrina Carpenter, Madison Iseman, Neve Campbell, Tom Everett Scott",Justin Baldoni
Le Trou,Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",1960-03-18,"Drama, Thriller, Crime",132,8.248,499,,https://image.tmdb.org/t/p/w500/xyZhiOz5NHVBUKlpioxjwajy7pm.jpg,https://image.tmdb.org/t/p/w500/f72GEQF2lKsdmEULSI9bWCbQylH.jpg,0,33187,fr,"Filmsonor, Play Art","Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel",Jacques Becker
Flow,Straume,"A solitary cat, displaced by a great flood, finds refuge on a boat with various species and must navigate the challenges of adapting to a transformed world together.",2024-08-29,"Animation, Fantasy, Adventure",85,8.245,1736,Surrender to the storm.,https://image.tmdb.org/t/p/w500/imKSymKBK7o73sajciEmndJoVkR.jpg,https://image.tmdb.org/t/p/w500/b3mdmjYTEL70j7nuXATUAD9qgu4.jpg,3700000,17660107,lv,"Dream Well Studio, Sacrebleu Productions, Take Five, ARTE France Cinéma, RTBF",,Gints Zilbalodis
Oldboy,올드보이,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",2003-11-21,"Drama, Thriller, Mystery, Action",120,8.25,8934,"Laugh, and the world laughs with you. Weep, and you weep alone.",https://image.tmdb.org/t/p/w500/pWDtjs568ZfOTMbURQBYuT4Qxka.jpg,https://image.tmdb.org/t/p/w500/ctfiTiulaR7GWDd1S2Q4xw4pWTw.jpg,3000000,17500000,ko,"Show East, Egg Film, Cineclick Asia","Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Kim Byeong-ok, Ji Dae-han",Park Chan-wook
Rascal Does Not Dream of a Dreaming Girl,青春ブタ野郎はゆめみる少女の夢を見ない,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",2019-06-15,"Animation, Romance, Drama, Fantasy",90,8.245,532,,https://image.tmdb.org/t/p/w500/AtFnN4OztDJy8IFwYd5JfU0jlEM.jpg,https://image.tmdb.org/t/p/w500/5MgMCnslrxQfOfaq6T5ndkLlcCk.jpg,0,0,ja,"CloverWorks, Aniplex, ABC Animation, KADOKAWA, Tokyo MX, Nagoya Broadcasting Network, BS11, Hakuhodo DY Music & Pictures","Kaito Ishikawa, Asami Seto, Yurika Kubo, Nao Toyama, Atsumi Tanezaki",Soichi Masui
Taylor Swift: Reputation Stadium Tour,Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",2018-12-31,Music,125,8.244,401,"And in the death of her reputation, she felt truly alive.",https://image.tmdb.org/t/p/w500/u6oXUTtOuJRPdUgUuPAVVJPSKCo.jpg,https://image.tmdb.org/t/p/w500/ySaK6hpbCc2OE13ac7ovhgWwR5u.jpg,0,0,en,"Den of Thieves, Taylor Swift Productions","Taylor Swift, Charli xcx, Camila Cabello, David Cook, Amos Heller",Paul Dugdale
Klaus,Klaus,"When Jesper distinguishes himself as the Postal Academy's worst student, he is sent to Smeerensburg, a small village located on an icy island above the Arctic Circle, where grumpy inhabitants barely exchange words, let alone letters. Jesper is about to give up and abandon his duty as a postman when he meets local teacher Alva and Klaus, a mysterious carpenter who lives alone in a cabin full of handmade toys.",2019-11-08,"Animation, Family, Adventure, Comedy, Fantasy",96,8.2,4234,Welcome to the jingle,https://image.tmdb.org/t/p/w500/q125RHUDgR4gjwh1QkfYuJLYkL.jpg,https://image.tmdb.org/t/p/w500/mlxKite1x1PgmIhJgAxNS9eHmH8.jpg,0,0,en,"Atresmedia, The SPA Studios","Jason Schwartzman, J.K. Simmons, Rashida Jones, Joan Cusack, Norm Macdonald",Sergio Pablos
Life in a Year,Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2020-11-27,"Drama, Romance",107,8.242,1906,,https://image.tmdb.org/t/p/w500/bP7u19opmHXYeTCUwGjlLldmUMc.jpg,https://image.tmdb.org/t/p/w500/88J6waYVTta8Qz3iX3qUeWNA5d5.jpg,0,0,en,"Columbia Pictures, Overbrook Entertainment","Jaden Smith, Cara Delevingne, Cuba Gooding Jr., Chris D'Elia, JT Neal",Mitja Okorn
Five Feet Apart,Five Feet Apart,"Seventeen-year-old Stella spends most of her time in the hospital as a cystic fibrosis patient. Her life is full of routines, boundaries and self-control — all of which get put to the test when she meets Will, an impossibly charming teen who has the same illness. There's an instant flirtation, though restrictions dictate that they must maintain a safe distance between them. As their connection intensifies, so does the temptation to throw the rules out the window and embrace that attraction.",2019-03-14,"Romance, Drama",116,8.2,5696,"When life keeps you apart, fight for every inch.",https://image.tmdb.org/t/p/w500/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg,https://image.tmdb.org/t/p/w500/27ZkYMWynuK2qiDP6awc3MsCaOs.jpg,7000000,92600000,en,"Wayfarer Entertainment, CBS Films","Haley Lu Richardson, Cole Sprouse, Moisés Arias, Kimberly Hebert Gregory, Parminder Nagra",Justin Baldoni
Avengers: Endgame,Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019-04-24,"Adventure, Science Fiction, Action",181,8.238,26197,Avenge the fallen.,https://image.tmdb.org/t/p/w500/ulzhLuWrPK07P1YkdWQLZnQh1JL.jpg,https://image.tmdb.org/t/p/w500/7RyHsO4yDXtBv1zUU3mTpHeQ0d5.jpg,356000000,2799439100,en,Marvel Studios,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth, Scarlett Johansson","Joe Russo, Anthony Russo"
I Want to Eat Your Pancreas,君の膵臓をたべたい,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",2018-09-01,"Animation, Drama, Romance",108,8.237,1600,This is a story about an unforgettable spring...,https://image.tmdb.org/t/p/w500/qDWA7fB4cZ4sBP6YgwlxvraDHi7.jpg,https://image.tmdb.org/t/p/w500/YLyORLsYIjC0d1TFBSpJKk7piP.jpg,0,33748006,ja,"ABC Animation, Aniplex, jeki, Futabasha, Studio VOLN, Tohan, The Asahi Shimbun","Mahiro Takasugi, Lynn, Yukiyo Fujii, Yuma Uchida, Jun Fukushima",Shinichiro Ushijima
Avengers: Infinity War,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",2018-04-25,"Adventure, Action, Science Fiction",149,8.236,30376,Destiny arrives all the same.,https://image.tmdb.org/t/p/w500/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,https://image.tmdb.org/t/p/w500/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,300000000,2052415039,en,Marvel Studios,"Robert Downey Jr., Chris Evans, Chris Hemsworth, Josh Brolin, Mark Ruffalo","Joe Russo, Anthony Russo"
"The Boy, the Mole, the Fox and the Horse","The Boy, the Mole, the Fox and the Horse","The unlikely friendship of a boy, a mole, a fox and a horse traveling together in the boy's search for home.",2022-12-25,"Animation, Family, Adventure, Fantasy",35,8.235,616,"A journey, in search of home.",https://image.tmdb.org/t/p/w500/aBBJRyS17TIrdXih3uSYvPAR3Ua.jpg,https://image.tmdb.org/t/p/w500/wO0MIGcA7w7tBI9Ey80Q4Z7qnPm.jpg,0,0,en,"NoneMore Productions, Bad Robot, BBC","Jude Coward Nicoll, Tom Hollander, Idris Elba, Gabriel Byrne","Peter Baynton, Charlie Mackesy"
Come and See,Иди и смотри,"The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family's wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.",1985-10-17,"Drama, War",142,8.235,1568,To love… to have children.,https://image.tmdb.org/t/p/w500/qNbMsKVzigERgJUbwf8pKyZogpb.jpg,https://image.tmdb.org/t/p/w500/oIQMt3Q6Qa37YD0JOdYkrIAPYDk.jpg,0,20929648,ru,"Belarusfilm, Mosfilm","Aleksei Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas, Jüri Lumiste",Elem Klimov
Green Book,Green Book,"Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.",2018-11-16,"Drama, History",130,8.234,11918,Inspired by a True Friendship.,https://image.tmdb.org/t/p/w500/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg,https://image.tmdb.org/t/p/w500/5En0fmDagt3Pk8d7P3uTwfeQceg.jpg,23000000,321752656,en,"Participant, DreamWorks Pictures, Cinetic Media, Innisfree Pictures","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Sebastian Maniscalco, Dimiter D. Marinov",Peter Farrelly
Evangelion: 3.0+1.0 Thrice Upon a Time,シン・エヴァンゲリオン劇場版:||,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka and Rei find refuge in one of the rare pockets of humanity that still exist on the ruined planet Earth. There, each lives a life far different from their days as an Evangelion pilot. However, the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.",2021-03-08,"Animation, Action, Science Fiction, Drama",155,8.2,835,"Bye-bye, all of EVANGELION.",https://image.tmdb.org/t/p/w500/md5wZRRj8biHrGtyitgBZo7674t.jpg,https://image.tmdb.org/t/p/w500/1EAxNqdkVnp48a7NUuNBHGflowM.jpg,29700000,93882453,ja,khara,"Megumi Ogata, Yuko Miyamura, Maaya Sakamoto, Megumi Hayashibara, Kotono Mitsuishi","Kazuya Tsurumaki, Mahiro Maeda, Katsuichi Nakayama, Hideaki Anno"
Out of the Clear Blue Sky,Como caído del cielo,"Returning to Earth as an imitator, the legendary Mexican artist Pedro Infante must prove that he is no longer a womanizer to enter paradise.",2019-12-24,"Comedy, Drama, Music",112,8.232,353,,https://image.tmdb.org/t/p/w500/xg6QZdlHrq2dtSK8cfnQQMnmpeY.jpg,https://image.tmdb.org/t/p/w500/o33acwn7KliNpJRbjy4FrMSpiQ9.jpg,0,0,es,"Esparza Caldera, La Victoria Films","Omar Chaparro, Ana Claudia Talancón, Stephanie Cayo, Lupita Sandoval, Yare Santana",Pepe Bojórquez
Mommy,Mommy,"A peculiar neighbor offers hope to a recent widow who is struggling to raise a teenager who is unpredictable and, sometimes, violent.",2014-09-19,Drama,138,8.232,2745,Loving people doesn't save them.,https://image.tmdb.org/t/p/w500/3zyQtPg3avKprmJP2gBiYgyWUQC.jpg,https://image.tmdb.org/t/p/w500/hb1GBVDwQIvSNpx1cQUFAIHfyBW.jpg,4900000,3494070,fr,"Metafilms, Sons of Manual","Anne Dorval, Suzanne Clément, Antoine Olivier Pilon, Patrick Huard, Alexandre Goyette",Xavier Dolan
TAYLOR SWIFT | THE ERAS TOUR,TAYLOR SWIFT | THE ERAS TOUR,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",2023-10-13,Music,169,8.227,444,It's been a long time coming.,https://image.tmdb.org/t/p/w500/jf3YO8hOqGHCupsREf5qymYq1n.jpg,https://image.tmdb.org/t/p/w500/uRKhh7JYMD6QWNt0NjmMfh7uLdm.jpg,15000000,261656269,en,"Taylor Swift Productions, Silent House Productions","Taylor Swift, Mike Meadows, Max Bernstein, Paul Sidoti, Amos Heller",Sam Wrench
The Matrix,The Matrix,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",1999-03-31,"Action, Science Fiction",136,8.224,26227,Believe the unbelievable.,https://image.tmdb.org/t/p/w500/dXNAPwY7VrqMAo51EKhhCJfaGb5.jpg,https://image.tmdb.org/t/p/w500/icmmSD4vTTDKOq2vvdulafOGw93.jpg,63000000,463517383,en,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros. Pictures","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster","Lana Wachowski, Lilly Wachowski"
Wolf Children,おおかみこどもの雨と雪,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",2012-07-21,"Animation, Family, Drama, Fantasy",117,8.223,2317,Love wildly.,https://image.tmdb.org/t/p/w500/3Nllh6JgcrFdtOn6iFOWHudNInd.jpg,https://image.tmdb.org/t/p/w500/Aa7iOVpdLgtwwtKXN6AfBQ57iHj.jpg,0,55060661,ja,"Studio Chizu, Madhouse, Nippon Television Network Corporation, KADOKAWA Shoten, VAP, D.N. Dream Partners, Yomiuri Telecasting Corporation, TOHO","Haru Kuroki, Yukito Nishii, Aoi Miyazaki, Takao Osawa, Momoka Ohno",Mamoru Hosoda
Il Sorpasso,Il sorpasso,"Roberto, a shy law student in Rome, meets Bruno, a forty-year-old exuberant, capricious man, who takes him for a drive through the Roman and Tuscany countries in the summer. When their journey starts to blend into their daily lives though, the pair’s newfound friendship is tested.",1962-12-05,"Drama, Comedy",105,8.223,785,,https://image.tmdb.org/t/p/w500/4h1ckrJQVcQYjeOkqS8i9BqZ9MI.jpg,https://image.tmdb.org/t/p/w500/uUrV5KSjnZx47Dq7e6STr73iN4N.jpg,0,0,it,"Fair Film, Incei Film, Sancro Film","Vittorio Gassman, Jean-Louis Trintignant, Catherine Spaak, Claudio Gora, Luciana Angiolillo",Dino Risi
Justice League Dark: Apokolips War,Justice League Dark: Apokolips War,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",2020-05-05,"Animation, Action, Science Fiction, Adventure, Fantasy",90,8.22,1486,The war to end all wars.,https://image.tmdb.org/t/p/w500/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,https://image.tmdb.org/t/p/w500/A95j1q2bYsvRfIdCiTPPvNJVfjI.jpg,0,0,en,"Warner Bros. Animation, DC Entertainment","Matt Ryan, Jerry O'Connell, Taissa Farmiga, Jason O'Mara, Rosario Dawson","Matt Peters, Christina Sotta"
Woman in the Dunes,砂の女,A vacationing entomologist suffers extreme physical and psychological trauma after being taken captive by the residents of a poor seaside village and made to live with a woman whose life task is shoveling sand for them.,1964-02-15,"Drama, Thriller",147,8.22,465,Haunting. Erotic. Unforgettable.,https://image.tmdb.org/t/p/w500/f0JpsMQ9oEjKBD66Ky3qK3z7LGT.jpg,https://image.tmdb.org/t/p/w500/dxfFh9pTKDaYH2B6PwcR6ohCM1L.jpg,0,0,ja,Teshigahara Productions,"Eiji Okada, Kyôko Kishida, Hiroko Itō, Kōji Mitsui",Hiroshi Teshigahara
Saving Private Ryan,Saving Private Ryan,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home.",1998-07-24,"Drama, History, War",169,8.218,16185,The mission is a man.,https://image.tmdb.org/t/p/w500/uqx37cS8cpHg8U35f9U5IBlrCV3.jpg,https://image.tmdb.org/t/p/w500/bdD39MpSVhKjxarTxLSfX6baoMP.jpg,70000000,481840909,en,"DreamWorks Pictures, Paramount Pictures, Amblin Entertainment, Mutual Film Company","Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper, Adam Goldberg",Steven Spielberg
Gladiator,Gladiator,"After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",2000-05-04,"Action, Drama, Adventure",155,8.218,19543,What we do in life echoes in eternity.,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg,https://image.tmdb.org/t/p/w500/Ar7QuJ7sJEiC0oP3I8fKBKIQD9u.jpg,103000000,465361176,en,"Universal Pictures, Scott Free Productions, Red Wagon Entertainment, Mill Film, DreamWorks Pictures","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris",Ridley Scott
Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2022-12-07,"Animation, Adventure, Fantasy, Comedy, Family",103,8.216,8091,Say hola to his little friends.,https://image.tmdb.org/t/p/w500/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,https://image.tmdb.org/t/p/w500/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,90000000,484700000,en,DreamWorks Animation,"Antonio Banderas, Salma Hayek Pinault, Harvey Guillén, Wagner Moura, Florence Pugh",Joel Crawford
Inglourious Basterds,Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",2009-08-02,"Drama, Thriller, War",153,8.215,22719,A basterd's work is never done.,https://image.tmdb.org/t/p/w500/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,https://image.tmdb.org/t/p/w500/wIqOKSfTi1LDWUjeEqe5UKXY1TD.jpg,70000000,321457747,en,"Universal Pictures, The Weinstein Company, A Band Apart, Zehnte Babelsberg Film, Visiona Romantica","Brad Pitt, Mélanie Laurent, Christoph Waltz, Eli Roth, Michael Fassbender",Quentin Tarantino
Wolfwalkers,Wolfwalkers,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",2020-10-26,"Animation, Family, Adventure, Fantasy",103,8.214,1235,Be fierce. Be wild. Be free.,https://image.tmdb.org/t/p/w500/ehAKuE48okTuonq6TpsNQj8vFTC.jpg,https://image.tmdb.org/t/p/w500/3zTbERSBLh7waK9811RTKGAcG86.jpg,12000000,1310720,en,"Cartoon Saloon, Melusine Productions, Value&Power Culture Communications, Film Fund Luxembourg, Fís Éireann/Screen Ireland, Broadcasting Authority of Ireland, Haut et Court, Canal+, RTÉ, OCS, Pôle Image Magelis, Folivari, GKIDS","Honor Kneafsey, Eva Whittaker, Sean Bean, Simon McBurney, Tommy Tiernan","Tomm Moore, Ross Stewart"
Witness for the Prosecution,Witness for the Prosecution,An ailing famous barrister agrees to defend a man in a sensational murder trial where his self-possessed wife's unconvincing testimony confuses him.,1957-12-17,"Drama, Mystery, Crime",116,8.212,1463,The most electrifying entertainment of our time!,https://image.tmdb.org/t/p/w500/mM5Cad2ESBprh6ucPnMzMfI34Cu.jpg,https://image.tmdb.org/t/p/w500/rVreHs57dd8xonPeLlqXdHmYq4M.jpg,3000000,9000000,en,Edward Small Productions,"Tyrone Power, Marlene Dietrich, Charles Laughton, Elsa Lanchester, John Williams",Billy Wilder
The Handmaiden,아가씨,"1930s Korea, in the period of Japanese occupation, a new girl, Sookee, is hired as a handmaiden to a Japanese heiress, Hideko, who lives a secluded life on a large countryside estate with her domineering Uncle Kouzuki. But the maid has a secret. She is a pickpocket recruited by a swindler posing as a Japanese Count to help him seduce the Lady to elope with him, rob her of her fortune, and lock her up in a madhouse. The plan seems to proceed according to plan until Sookee and Hideko discover some unexpected emotions.",2016-06-01,"Thriller, Drama, Romance",145,8.211,3877,,https://image.tmdb.org/t/p/w500/dLlH4aNHdnmf62umnInL8xPlPzw.jpg,https://image.tmdb.org/t/p/w500/9o9ci7ZH9chSy8B7YXCBYih8Kkd.jpg,8575000,38600000,ko,"Moho Film, Yong Film, CJ Entertainment","Kim Min-hee, Kim Tae-ri, Ha Jung-woo, Cho Jin-woong, Kim Hae-sook",Park Chan-wook
The Shining,The Shining,"Jack Torrance accepts a caretaker job at the Overlook Hotel, where he, along with his wife Wendy and their son Danny, must live isolated from the rest of the world for the winter. But they aren't prepared for the madness that lurks within.",1980-05-23,"Horror, Thriller",144,8.211,17837,A masterpiece of modern horror.,https://image.tmdb.org/t/p/w500/xazWoLealQwEgqZ89MLZklLZD3k.jpg,https://image.tmdb.org/t/p/w500/mmd1HnuvAzFc4iuVJcnBrhDNEKr.jpg,19000000,44781695,en,"Warner Bros. Pictures, Peregrine, Hawk Films, The Producer Circle Co.","Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers, Barry Nelson",Stanley Kubrick
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,劇場版「鬼滅の刃」無限列車編,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",2020-10-16,"Animation, Action, Fantasy, Thriller",117,8.21,4052,"With your blade, bring an end to the nightmare.",https://image.tmdb.org/t/p/w500/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,https://image.tmdb.org/t/p/w500/3FVe3OAdgz060JaxIAaUl5lo6cx.jpg,15700000,507119058,ja,"ufotable, Aniplex, Shueisha, TOHO","Natsuki Hanae, Akari Kito, Hiro Shimono, Yoshitsugu Matsuoka, Satoshi Hino",Haruo Sotozaki
The Help,The Help,"Aibileen Clark is a middle-aged African-American maid who has spent her life raising white children and has recently lost her only son; Minny Jackson is an African-American maid who has often offended her employers despite her family's struggles with money and her desperate need for jobs; and Eugenia ""Skeeter"" Phelan is a young white woman who has recently moved back home after graduating college to find out her childhood maid has mysteriously disappeared. These three stories intertwine to explain how life in Jackson, Mississippi revolves around ""the help""; yet they are always kept at a certain distance because of racial lines.",2011-08-09,Drama,146,8.2,8489,Change begins with a whisper.,https://image.tmdb.org/t/p/w500/3kmfoWWEc9Vtyuaf9v5VipRgdjx.jpg,https://image.tmdb.org/t/p/w500/k2ZdjMXmqnw4RJeh8cwxCvcznJZ.jpg,25000000,216600000,en,"1492 Pictures, Harbinger Pictures","Emma Stone, Viola Davis, Bryce Dallas Howard, Octavia Spencer, Jessica Chastain",Tate Taylor
Coco,Coco,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",2017-10-27,"Family, Animation, Music, Adventure",105,8.204,19870,The celebration of a lifetime.,https://image.tmdb.org/t/p/w500/gGEsBPAijhVUFoiNpgZXqRVWJt2.jpg,https://image.tmdb.org/t/p/w500/wSJHuSD7ojzoXifWjOAjxV7UpEL.jpg,175000000,807816196,en,"Pixar, Walt Disney Pictures","Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach, Renee Victor",Lee Unkrich
Star Wars,Star Wars,Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot duo R2-D2 and C-3PO to rescue the beautiful princess and restore peace and justice in the Empire.,1977-05-25,"Adventure, Action, Science Fiction",121,8.203,21027,"A long time ago in a galaxy far, far away...",https://image.tmdb.org/t/p/w500/6FfCtAuVAW8XJjZ7eWeLibRLWTw.jpg,https://image.tmdb.org/t/p/w500/2w4xG178RpB4MDAIfTkqAuSJzec.jpg,11000000,775398007,en,"Lucasfilm Ltd., 20th Century Fox","Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing, Alec Guinness",George Lucas
The Prestige,The Prestige,"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences.",2006-10-17,"Drama, Mystery, Science Fiction",130,8.203,16422,Are You Watching Closely?,https://image.tmdb.org/t/p/w500/bdN3gXuIZYaJP7ftKK2sU0nPtEA.jpg,https://image.tmdb.org/t/p/w500/yCnJT53HMXAK87xzPAdjdYhZ3JE.jpg,40000000,109676311,en,"Warner Bros. Pictures, Touchstone Pictures, Newmarket Films, Syncopy","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo, Rebecca Hall",Christopher Nolan
