Poster,Title,Actors,Year,Genres,Overview,User Score
https://image.tmdb.org/t/p/w500/eGMkkbG85JUyXQEsbZKSnBrymts.jpg,Radical,"Eugenio Derbez, Daniel Haddad, Jennifer Trejo, Mia Fernanda Solis, Danilo Guardiola Escobar",2023,Drama,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries an unorthodox new method to break through his students’ apathy and unlock their curiosity, their potential... and perhaps even their genius.",8.375
https://image.tmdb.org/t/p/w500/7fn624j5lj3xTme2SgiLCeuedmO.jpg,Whiplash,"Miles Teller, J.K. Simmons, Paul Reiser, Melissa Benoist, Austin Stowell",2014,"Drama, Music","Under the direction of a ruthless instructor, a talented young drummer begins to pursue perfection at any cost, even his humanity.",8.374
https://image.tmdb.org/t/p/w500/191nKfP0ehp3uIvWqgPbFmI4lv9.jpg,Se7en,"Morgan Freeman, Brad Pitt, Gwyneth Paltrow, John Cassini, Peter Crombie",1995,"Crime, Mystery, Thriller","Two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. The seasoned Det. Somerset researches each sin in an effort to get inside the killer's mind, while his novice partner, Mills, scoffs at his efforts to unravel the case.",8.375
https://image.tmdb.org/t/p/w500/ljsZTbVsrQSqZgWeep2B1QiDKuh.jpg,Inception,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ken Watanabe, Tom Hardy, Elliot Page",2010,"Action, Science Fiction, Adventure","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",8.4
https://image.tmdb.org/t/p/w500/38I76hGcFY6xB47pjm7pZwkfuAF.jpg,Counterattack,"Luis Alberti, Noé Hernández, Leonardo Alonso, Luis Curiel, Guillermo Nava",2025,"Action, Adventure, Thriller","When a hostage rescue mission creates a new enemy, Capt. Guerrero and his elite soldiers must face an ambush by a criminal group.",8.361
https://image.tmdb.org/t/p/w500/ILVF0eJxHMddjxeQhswFtpMtqx.jpg,Rear Window,"James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter, Raymond Burr",1954,"Thriller, Mystery",A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,8.353
https://image.tmdb.org/t/p/w500/yfnJ5qIYx7q33fY4jqv9Pu95RSg.jpg,Lucy Shimmers and the Prince of Peace,"Scarlett Diamond, Adam Hightower, Vincent Vargas, Tara Barrett, Madison Bills",2020,"Drama, Family",Second chances start when a hardened criminal crosses paths with a precocious little girl who is helped by an angel to change hearts during the holiday season.,8.3
https://image.tmdb.org/t/p/w500/aLv87NgRJUPkQ6sVLP72IisDdt4.jpg,The Legend of Hei,"Shan Xin, Liu Mingyue, Hao Xianghai, Ding Dang, Yuntu Cao",2019,"Animation, Fantasy, Action","When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",8.3
https://image.tmdb.org/t/p/w500/uS9m8OBk1A8eM9I042bx8XXpqAq.jpg,The Silence of the Lambs,"Jodie Foster, Anthony Hopkins, Scott Glenn, Ted Levine, Anthony Heald",1991,"Crime, Drama, Thriller","Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.",8.345
https://image.tmdb.org/t/p/w500/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,Spider-Man: Across the Spider-Verse,"Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez, Jake Johnson",2023,"Animation, Action, Adventure, Science Fiction","After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",8.343
